Ad name,Results,Cost per results,Amount spent (USD),Impressions,Reach,Frequency,"CPM (cost per 1,000 impressions) (USD)",Purchases,Bid,Purchase ROAS (return on ad spend)
4/16 - Jeremy Profile - Video - Conversions - All Placements,2970,226.1066938,188562.04,16087044,6224689,2.76279375,7.86814375,3004,0,1.83205525
Jeremy Profile - Video - Conversions - All Placements,1670,181.1833294,135011.86,19957288,7048758,2.341236198,4.597916857,1670,0,0.7675294667
4/16 - Matt - Video - Conversions - All Placements - Copy,1520,72.46388158,110145.1,5080908,1921125,2.644757,21.678232,1520,0,1.401654
Copy - Jeremy Profile - Video - Conversions - All Placements - Copy,1509,72.32890656,109144.32,6007179,2150051,2.79397,18.168981,1509,0,1.435714
4/16 - Jeremy Profile - Video - Conversions - All Placements - Copy,1200,75.20314167,90243.77,3673605,988155,3.71764,24.565453,1200,0,1.357485
Real-Estate Agents / Investors | Conversions | RG-5/1/23,414,58.97516721,12699.9,604448,265133,2.136842667,24.83643567,414,0,1.7244665
TV Phone - Jeremy Profile - Video - Conversions - All Placements,384,161.3380971,28849.77,10578131,5172600,1.495103122,6.703461089,387,0,2.983216778
3% Of Purchase Conversions - 7/13/23,369,28.46143631,10502.27,597488,319900,1.867734,17.577374,369,0,2.108116
Jeremy Profile - Short Video - Conversions - All Placements - Copy,286,60.22583916,17517.97,1481198,623083,1.7701655,15.772614,286,0,1.691477
11/24 - Tax Video,275,48.04552727,13272.17,515400,216433,1.725815,33.296205,275,0,2.135096
Remarketing - Webvisitors - No/trial,247,51.01283401,12600.17,491212,128095,3.834748,25.651185,247,0,2.006719
Link-Click LAL | Conversions | RG-5/1/23,242,40.39563925,8565.42,430191,209473,1.7801505,19.761228,242,0,1.5231865
Thousands of Realtors - Copy,239,31.81736402,7604.35,433034,191812,2.257596,17.56063,239,0,1.885763
Thousands of Realtors,232,32.5500431,7551.61,524854,240799,2.179635,14.38802,232,0,1.843316
1% Of Purchase Conversions - 7/18/23,194,41.86587629,8121.98,864132,334674,2.582011,9.399004,194,0,1.433148
3% Of Purchase Conversions - 7/13/23 - Analysis Page,182,82.45310252,12182.95,537847,298903,1.776639,22.0320275,182,0,0.809022
5% Of  Income Earners | Jeremy Video | 1/15/2024,178,72.01331461,12818.37,1101921,435124,2.53243,11.632749,178,0,1.223244
